id, Longitude,Latitude, traffic lights,flag
1, 790.000000,200.000000, 1,0 
2, 950.000000,550.000000, 0,0 
5, 220.000000,200.000000, 0,0 
4, 690.000000,700.000000, 0,0 
3, 990.000000,950.000000, 0,0 
9, 610.000000,1200.000000, 1,0 
7, 350.000000,850.000000, 0,0 
8, 320.000000,1300.000000, 0,0 
15, 250.000000,1550.000000, 0,0 
10, 520.000000,1550.000000, 1,0 
11, 650.000000,1900.000000, 0,0 
12, 820.000000,1600.000000, 1,0 
13, 1000.000000,1650.000000, 0,0 
14, 850.000000,1400.000000, 0,0 
6, 100.000000,650.000000, 0,0 
